"container","Container"
"Add after","Add after"
"Font Manager","Font Manager"
"Upload TTF-Font","Upload TTF-Font"
"Add Google Font","Add Google Font"
"Style Manager","Style Manager"
"Remove Style","Remove Style"
"General","General"
"Style Name","Style Name"
"Alias","Alias"
"Based On","Based On"
"xxx","xxx"
"UID","UID"
"Basic Formats","Basic Formats"
"Font Source","Font Source"
"Local","Local"
"Google Fonts","Google Fonts"
"Indents and Spacing","Indents and Spacing"
"Aligment","Aligment"
"Left Indent","Left Indent"
"Right Indent","Right Indent"
"First Line Indent","First Line Indent"
"Last Line Indent","Last Line Indent"
"Space Before","Space Before"
"Space After","Space After"
"Colour Mode","Colour Mode"
"Make Promotional Item","Make Promotional Item"
"Insert Modus","Insert Modus"
"Insert at Start","Start"
"Insert Before","Before"
"Insert After","After"
"Insert at End","End"

